instrument_key,exchange_token,"SYMBOL 
",name,last_price
NSE_EQ|INE378D01032,13668,MADHUCON,MADHUCON PROJECTS LTD.,10.91
NSE_EQ|INE911B01018,8722,TCIFINANCE,TCIFINANCELTD-ROLL SETT,11.04
NSE_EQ|INE662A01027,3357,SUPERSPIN,SUPER SPINNING MILLS LTD,11.08
NSE_EQ|INE835A01029,3646,VARDMNPOLY,VARDHMAN POLYTEX LTD.,11.11
NSE_EQ|INE251H01024,13229,GVKPIL,GVK POW. & INFRA LTD.,11.15
NSE_EQ|INE998H01012,14346,ORIENTALTL,ORIENTAL TRIMEX LTD,11.21
NSE_EQ|INE648Z01023,1465,ACCURACY,ACCURACY SHIPPING LIMITED,11.34
NSE_EQ|INE937C01029,9253,NILAINFRA,NILA INFRASTRUCTURES LTD,11.35
NSE_EQ|INE141D01018,9884,TNTELE,TAMILNADU TELECOMMUNICATI,11.35
NSE_EQ|INE965B01022,12809,HYBRIDFIN,HYBRID FINANCIAL SERVICE,11.56
NSE_EQ|INE964W01021,16738,MKPL,M K PROTEINS LIMITED,11.89
NSE_EQ|INE694A01020,8893,UNITECH,UNITECH LIMITED,11.9
NSE_EQ|INE369C01017,4160,NORBTEAEXP,NORBEN TEA & EXPORTS LTD,11.97
NSE_EQ|INE043A01012,4821,GTL,GTL LTD,11.99
NSE_EQ|INE759V01019,19209,HEADSUP,HEADS UP VENTURES LIMITED,12.01
NSE_EQ|INE413B01023,4566,RUCHINFRA,RUCHI INFRASTRUCTURE LTD,12.08
NSE_EQ|INE230R01035,10300,RAMASTEEL,RAMA STEEL TUBES LIMITED,12.16
NSE_EQ|INE600A01035,30835,PILITA,PIL ITALICA LIFESTYLE LTD,12.28
NSE_EQ|INE087Z01024,235,AAKASH,AAKASH EXPLORATION SER L,12.66
NSE_EQ|INE312C01025,11992,SYNCOMF,SYNCOM FORMU (I) LTD,12.7
NSE_EQ|INE454M01024,17295,NAGAFERT,NAGARJUN FERT AND CHE LTD,12.86
NSE_EQ|INE747K01017,18831,TARAPUR,TARAPUR TRANSFORMERS LTD,12.87
NSE_EQ|INE503B01021,21339,STEELXIND,STEEL EXCHANGE INDIA LTD,13.13
NSE_EQ|INE059901020,13303,IEL,INDIABULLS ENT LTD,13.25
NSE_EQ|INE982V01025,7211,JETFREIGHT,JET FREIGHT LOGISTICS LTD,13.65
NSE_EQ|INE781B01015,11214,NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,13.71
NSE_EQ|INE022C01012,8886,EUROTEXIND,EUROTEX IND & EXPORTS LTD,13.88
NSE_EQ|INE236Y20038,24043,NGIL-RE2,NAKODA GROUP OF IND LTD,13.98
NSE_EQ|INE382T01030,10866,GVPTECH,GVP INFOTECH LIMITED,14.11
NSE_EQ|INE195Y01010,11520,SECURCRED,SECUR CREDENTIALS LIMITED,14.18
NSE_EQ|INE561H01026,13791,PARSVNATH,PARSVNATH DEVELOPER LTD,14.19
NSE_EQ|INF109KC11V0,17475,NV20IETF,ICICI PRUDENTIAL NV20 ETF,14.22
NSE_EQ|INE161G01027,28880,MORARJEE,MORARJEE TEXTILES LIMITED,14.5
NSE_EQ|INE0EEJ01023,14152,BTML,BODHI TREE MULTIMEDIA LTD,14.52
NSE_EQ|INE514Y01020,3595,MOKSH,MOKSH ORNAMENTS LIMITED,14.58
NSE_EQ|INE262Z01023,15848,LATTEYS,LATTEYS INDUSTRIES LTD,14.9
NSE_EQ|INE966H01019,14003,ZEEMEDIA,ZEE MEDIA CORPORATION LTD,14.91
NSE_EQ|INE797H01018,14607,TGBHOTELS,TGB BANQUETS&HOTELS LTD,15.14
NSE_EQ|INE635A01023,13741,SHYAMTEL,SHYAM TELECOM LIMITED,15.36
NSE_EQ|INE933X01016,5655,SHANTI,SHANTI OVERSEAS INDIA LTD,15.58
NSE_EQ|INE353H01010,13367,SGL,STL GLOBAL LIMITED,15.96
NSE_EQ|INE669E01016,14366,IDEA,VODAFONE IDEA LIMITED,16.07
NSE_EQ|INE836F01026,14537,DISHTV,DISH TV INDIA LTD.,16.54
NSE_EQ|INE071A01013,13622,BINANIIND,BINANI INDUSTRIES LTD,16.56
NSE_EQ|INE919I01024,19877,RADIOCITY,MUSIC BROADCAST LIMITED,16.78
NSE_EQ|INF109KC10W0,17702,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,16.94
NSE_EQ|INE546Y01022,1216,PRAXIS,PRAXIS HOME RETAIL LTD,17.14
NSE_EQ|INE526B01014,8400,CALSOFT,CALIFORNIA SOFTWARE CO LT,17.18
NSE_EQ|INE430N01022,13702,VISHWARAJ,VISHWARAJ SUGAR IND LTD,17.56
NSE_EQ|INE641C01019,15248,KAVVERITEL,KAVVERI TEL. LTD.,17.73
NSE_EQ|INE236A01020,5735,HCL-INSYS,HCL INFOSYSTEMS-DEPO SETT,17.85
NSE_EQ|INE185H01016,13162,CELEBRITY,CELEBRITY FASHIONS LTD,17.89
NSE_EQ|INE399K01017,17524,RTNPOWER,RATTANINDIA POWER LIMITED,17.9
NSE_EQ|INE979R01011,10192,SHYAMCENT,SHYAM CENTURY FERROUS LTD,18.04
NSE_EQ|INE039B01026,8028,CINEVISTA,CINEVISTA LIMITED,18.17
NSE_EQ|INE912L01015,25496,ONELIFECAP,ONELIFE CAP ADVISORS LTD,18.2
NSE_EQ|INE855F01042,14064,ASMS,BARTRONICS INDIA LIMITED,18.21
NSE_EQ|INE360C01024,15419,DPSCLTD,DPSC LIMITED,18.32
NSE_EQ|INE791A01024,8139,BLBLIMITED,BLB LIMITED,18.33
NSE_EQ|INE749B01020,2979,ORTINLAB,ORTIN LABORATORIES LTD,18.34
NSE_EQ|INE319Y01024,22282,TIRUPATIFL,TIRUPATI FORGE LIMITED,18.39
NSE_EQ|INE908V01012,11082,LIBAS,LIBAS CONSU PRODUCTS LTD,18.44
NSE_EQ|INE203Y01012,19097,SILLYMONKS,SILLY MONKS ENTERTAIN LTD,18.57
NSE_EQ|INE130B01031,10700,SURANAT&P,SURANA TELECOM AND POW LT,18.68
NSE_EQ|INE652F01027,6385,CCHHL,COUNTRY CLUB HOSP HOL LTD,18.72
NSE_EQ|INE00Z501029,9288,KRITIKA,KRITIKA WIRES LIMITED,18.97
NSE_EQ|INE737B01033,4953,ADROITINFO,ADROIT INFOTECH LIMITED,19.06
NSE_EQ|INE760Y01011,16943,ASHOKAMET,ASHOKA METCAST LIMITED,19.32
NSE_EQ|INE753W01010,11032,SANGINITA,SANGINITA CHEMICALS LTD,19.35
NSE_EQ|INE351F01018,11763,JPPOWER,JAIPRAKASH POWER VEN. LTD,19.71
NSE_EQ|INE278B01020,13565,RAMANEWS,SHREE RAMA NEWSPRINT LTD,19.91
NSE_EQ|INE170V01027,21362,SALASAR,SALASAR TECHNO ENGG. LTD.,19.94
NSE_EQ|INE416L01017,20080,EROSMEDIA,EROS INTL MEDIA LTD,19.96
NSE_EQ|INE020D01022,13794,BAIDFIN,BAID FINSERV LIMITED,20.22
NSE_EQ|INE804H01012,14323,TFL,TRANSWARRANTY FIN. LTD.,20.51
NSE_EQ|INE952A01022,17050,HINDNATGLS,HIND NATL GLASS & IND LTD,20.53
NSE_EQ|INE286H01012,13298,VISASTEEL,VISA STEEL LIMITED,20.76
NSE_EQ|INE117Z01011,11631,NARMADA,NARMADA AGROBASE LIMITED,20.8
NSE_EQ|INE658G01014,11637,SALSTEEL,S.A.L. STEEL LTD.,20.82
NSE_EQ|INE914E01040,9921,ALANKIT,ALANKIT LIMITED,20.89
NSE_EQ|INF209KB15K4,10690,NIFTYQLITY,BIRLASLAMC - NIFTYQLITY,20.9
NSE_EQ|INE949P01018,6600,GENUSPAPER,GENUS P&B LIMITED,21.07
NSE_EQ|INE0APB01024,1593,MGEL,MANGALAM GLOBAL ENT LTD,21.08
NSE_EQ|INE544H01014,13723,JHS,JHS SVEND. LAB. LTD,21.1
NSE_EQ|INE867A01022,13572,MANUGRAPH,MANUGRAPH INDIA LIMITED,21.12
NSE_EQ|INE646X01014,880,ASTRON,ASTRON PAPER BORD MIL LTD,21.29
NSE_EQ|INE999K01014,20110,GREENPOWER,ORIENT GREEN POWER CO LTD,21.47
NSE_EQ|INE02EZ01022,9902,AXITA,AXITA COTTON LIMITED,21.5
NSE_EQ|INE529D01014,15219,PATINTLOG,PATEL INT. LOG. LTD,21.61
NSE_EQ|INE533D01032,8428,RAJRILTD,RAJ RAYON INDUSTRIES LTD,21.84
NSE_EQ|INE245I01016,14942,NAGREEKCAP,NAGREEKA CAP & INFR.LTD,21.89
NSE_EQ|INE964H01014,15308,SEPC,SEPC LIMITED,21.9
